"Music","Slow.songs.or.fast.songs","Dance","Folk","Country","Classical.music","Musical","Pop","Rock","Metal.or.Hardrock","Punk","Hiphop..Rap","Reggae..Ska","Swing..Jazz","Rock.n.roll","Alternative","Latino","Techno..Trance","Opera","Movies","Horror","Thriller","Comedy","Romantic","Sci.fi","War","Fantasy.Fairy.tales","Animated","Documentary","Western","Action","History","Psychology","Politics","Mathematics","Physics","Internet","PC","Economy.Management","Biology","Chemistry","Reading","Geography","Foreign.languages","Medicine","Law","Cars","Art.exhibitions","Religion","Countryside..outdoors","Dancing","Musical.instruments","Writing","Passive.sport","Active.sport","Gardening","Celebrities","Shopping","Science.and.technology","Theatre","Fun.with.friends","Adrenaline.sports","Pets","Flying","Storm","Darkness","Heights","Spiders","Snakes","Rats","Ageing","Dangerous.dogs","Fear.of.public.speaking","Smoking","Alcohol","Healthy.eating","Daily.events","Prioritising.workload","Writing.notes","Workaholism","Thinking.ahead","Final.judgement","Reliability","Keeping.promises","Loss.of.interest","Friends.versus.money","Funniness","Fake","Criminal.damage","Decision.making","Elections","Self.criticism","Judgment.calls","Hypochondria","Empathy","Eating.to.survive","Giving","Compassion.to.animals","Borrowed.stuff","Loneliness","Cheating.in.school","Health","Changing.the.past","God","Dreams","Charity","Number.of.friends","Punctuality","Lying","Waiting","New.environment","Mood.swings","Appearence.and.gestures","Socializing","Achievements","Responding.to.a.serious.letter","Children","Assertiveness","Getting.angry","Knowing.the.right.people","Public.speaking","Unpopularity","Life.struggles","Happiness.in.life","Energy.levels","Small...big.dogs","Personality","Finding.lost.valuables","Getting.up","Interests.or.hobbies","Parents_.advice","Questionnaires.or.polls","Internet.usage","Finances","Shopping.centres","Branded.clothing","Entertainment.spending","Spending.on.looks","Spending.on.gadgets","Spending.on.healthy.eating","Age","Height","Weight","Number.of.siblings","Gender","Left...right.handed","Education","Only.child","Village...town","House...block.of.flats","Recoded Age_1"
5,3,2,2,2,5,4,4,5,4,3,4,4,3,5,4,3,3,3,5,3,3,5,3,3,4,4,4,4,4,4,4,4,2,4,4,5,5,3,5,5,3,3,4,5,3,3,2,1,4,2,1,2,5,5,2,1,2,4,3,5,5,5,1,1,2,4,2,4,2,1,3,4,2,3,5,3,3,1,3,4,1,5,5,5,5,5,2,1,2,4,5,4,1,5,1,4,5,5,3,5,3,4,1,4,2,4,2,3,4,4,3,3,3,2,3,4,4,1,2,1,5,2,3,5,3,3,3,3,3,4,3,3,3,2,3,4,3,2,3,18,192,90,1,2,2,3,1,1,1,1
5,3,3,2,2,3,2,4,4,1,2,4,3,4,4,5,3,2,2,5,4,4,5,3,1,4,3,4,4,1,2,4,2,3,4,2,5,4,5,2,1,5,4,5,2,3,2,2,3,1,4,1,1,3,4,1,4,3,2,3,5,2,1,1,2,1,1,1,1,1,2,4,3,4,3,2,4,2,4,5,4,4,5,5,4,3,4,2,2,4,3,4,4,1,5,2,2,3,4,4,2,3,3,5,4,2,3,1,2,4,5,4,5,4,4,4,5,3,4,4,2,5,1,4,4,1,3,5,4,2,4,3,3,4,2,2,4,4,4,2,18,163,57,1,1,2,4,1,1,1,1
5,3,3,5,1,5,3,3,3,1,1,1,2,5,4,4,4,1,5,5,1,1,4,4,2,1,5,4,3,1,3,5,1,1,5,3,3,1,5,5,5,5,2,5,4,2,1,5,4,5,3,5,1,2,1,1,1,2,2,5,5,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,3,5,5,3,3,4,5,1,4,4,2,1,3,5,5,3,1,5,1,4,3,4,4,3,3,3,5,4,3,4,1,2,3,5,5,3,5,1,1,5,5,4,3,1,5,4,3,4,3,3,5,5,5,5,1,3,3,1,4,4,3,1,2,18,173,65,3,1,2,3,1,1,1,1
5,3,4,3,1,5,4,4,2,4,3,5,4,5,2,5,3,3,5,5,1,4,3,3,3,2,5,5,5,1,4,5,4,2,1,2,1,4,1,5,2,5,5,3,2,1,2,5,5,5,3,5,5,2,4,5,2,4,3,5,4,4,1,1,1,3,1,1,1,1,1,5,5,2,3,4,2,2,5,4,4,5,5,5,4,4,5,4,2,5,5,4,4,1,2,1,1,1,4,2,5,3,5,5,4,3,4,1,4,2,5,5,5,4,4,4,4,5,4,5,5,3,3,4,4,3,4,4,1,4,4,4,3,4,3,1,2,4,5,4,18,170,75,2,1,2,3,1,1,1,1
5,3,5,4,3,5,5,5,4,3,3,3,3,4,5,4,4,2,5,5,1,3,5,5,5,3,5,5,5,3,5,5,4,2,4,2,3,3,1,2,5,5,4,3,5,2,4,5,5,5,4,5,5,3,4,5,3,5,5,5,5,5,5,3,2,2,3,2,5,2,3,2,2,4,3,4,3,3,3,4,3,3,4,4,2,4,3,1,3,3,2,3,3,2,5,3,5,5,4,4,3,4,3,4,4,3,5,2,2,3,3,3,3,3,4,4,5,3,3,4,3,5,4,4,4,3,4,4,3,5,4,4,3,4,4,3,4,2,2,3,18,192,91,0,2,2,3,2,2,1,1
5,3,2,1,2,4,3,4,5,5,5,2,2,3,5,4,2,2,1,5,3,3,5,2,5,2,4,4,3,2,5,2,5,1,3,4,5,5,1,3,3,2,3,5,4,3,5,2,3,3,1,1,1,5,5,1,2,2,5,1,4,5,3,1,1,1,1,1,1,1,1,3,3,3,3,4,1,3,2,2,3,1,3,5,1,3,5,3,1,2,1,4,5,2,5,5,2,5,4,4,4,2,4,2,3,1,2,2,2,2,4,4,3,2,4,1,2,4,1,4,5,5,1,4,4,4,3,2,3,4,3,2,3,4,2,4,3,2,2,4,18,186,76,1,2,2,3,1,2,2,1
5,2,2,4,4,4,2,3,5,5,4,2,3,2,3,2,2,1,4,5,1,4,3,2,5,5,3,3,4,3,5,3,2,4,3,1,5,4,4,2,2,2,3,3,2,2,5,2,3,2,1,1,1,2,1,1,1,1,5,2,5,3,1,2,1,3,2,1,4,3,2,4,4,4,1,3,3,1,1,2,2,3,4,3,3,2,2,2,4,3,3,4,3,4,2,3,3,2,4,3,2,3,3,4,4,2,3,3,1,4,2,3,4,2,3,4,3,2,5,3,2,3,4,2,3,3,4,2,5,2,3,2,3,4,2,4,4,3,3,4,18,174,64,0,2,2,3,2,1,1,1
5,3,2,1,1,1,3,5,2,1,1,3,2,1,2,1,1,1,1,5,3,3,5,5,1,1,4,3,2,1,2,2,3,1,2,1,5,1,2,1,1,3,1,3,1,1,3,3,1,4,2,2,1,5,5,1,5,5,1,5,5,3,5,4,3,4,3,5,5,3,3,4,5,4,3,3,3,2,2,2,3,1,4,4,5,5,3,3,3,4,1,4,4,3,5,2,4,3,3,2,5,4,5,3,4,1,3,1,2,3,3,4,5,4,3,3,3,3,3,4,5,4,3,5,4,3,3,2,3,5,3,4,3,2,5,5,5,4,3,3,18,165,55,0,1,2,3,2,1,1,1
5,3,3,1,2,2,3,4,4,1,2,3,3,3,3,2,4,4,2,5,3,4,5,5,3,3,3,4,5,3,4,5,4,4,4,1,4,3,5,2,5,3,4,5,3,4,4,3,2,2,3,2,2,3,3,1,3,4,3,2,3,3,5,2,1,2,3,1,5,3,2,3,3,4,3,4,4,3,4,3,5,4,5,5,4,2,4,2,1,2,4,3,4,2,4,2,3,5,5,3,2,4,3,4,4,4,3,1,2,3,3,2,3,3,3,2,4,5,3,4,5,3,1,4,3,4,4,3,5,4,3,4,3,3,5,4,3,3,3,4,18,174,64,1,2,2,3,1,1,1,1
5,3,2,1,2,3,3,4,3,2,3,4,4,2,2,4,3,1,2,4,1,3,4,3,2,3,4,4,2,1,4,2,3,3,1,1,3,2,4,3,2,3,2,4,3,4,1,2,1,3,2,1,1,3,5,1,2,3,1,3,5,3,1,1,1,3,1,1,2,3,5,5,1,4,3,4,5,3,1,2,2,1,3,5,3,4,3,2,1,2,5,5,5,1,5,2,5,5,5,3,5,5,3,4,3,3,3,1,2,2,5,3,3,4,3,4,5,5,3,5,1,4,5,3,5,1,3,3,5,4,3,3,2,4,3,4,3,3,2,5,18,158,50,2,1,1,2,1,1,1,1
5,3,3,2,1,4,3,4,5,3,3,3,3,2,2,3,2,2,2,5,4,5,4,1,1,5,3,3,3,4,5,5,4,5,2,2,5,2,3,2,1,3,5,5,4,5,4,2,3,2,5,4,1,5,3,1,3,3,4,2,5,1,1,1,1,1,2,3,1,5,2,3,3,1,3,4,5,3,2,3,4,5,4,3,5,5,4,3,5,5,1,4,5,4,3,1,2,1,5,3,5,3,3,5,3,3,5,1,2,1,5,4,3,3,3,1,4,3,3,4,5,4,1,4,4,5,3,1,2,1,3,1,3,3,1,4,2,3,3,4,18,160,55,2,1,2,3,1,1,1,1
5,3,1,2,3,4,5,2,4,5,4,1,1,2,4,4,2,2,4,5,1,1,4,3,4,4,3,4,5,3,3,4,2,3,4,3,5,5,2,3,2,5,3,4,3,2,3,4,2,4,2,3,3,3,2,4,3,3,4,5,4,3,5,2,1,3,2,3,3,2,2,2,4,3,3,3,3,3,2,4,3,1,4,4,2,4,3,3,2,3,2,4,4,2,4,2,3,5,4,4,3,3,2,2,4,3,2,2,3,4,2,2,3,2,3,4,3,3,2,4,4,3,4,3,2,2,3,4,2,2,3,3,3,4,3,3,2,3,4,4,18,203,89,2,2,2,3,2,1,1,1
4,3,4,1,1,2,1,2,2,2,1,4,1,1,3,1,1,1,1,4,3,1,5,5,3,5,2,2,4,2,5,4,3,5,1,1,4,5,1,1,1,1,3,5,1,2,5,1,2,4,1,1,1,1,1,1,1,5,5,1,5,5,1,1,1,1,2,1,5,1,1,4,2,3,1,4,2,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,1,5,3,4,3,4,4,3,1,2,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,5,5,2,1,4,2,5,5,5,5,2,4,18,176,76,0,2,2,3,2,1,1,1
5,3,2,2,2,4,5,3,5,2,2,4,4,4,4,5,3,1,4,5,1,2,5,5,3,3,3,2,3,4,2,2,5,1,3,1,5,2,3,1,1,3,4,5,1,1,2,1,1,4,3,1,1,2,3,1,4,4,1,4,5,1,1,3,1,1,3,4,5,3,1,3,3,4,3,4,2,1,1,1,2,1,4,4,2,3,3,1,1,2,1,2,5,1,5,1,1,2,3,2,5,1,1,3,4,1,3,1,2,4,3,1,3,3,1,4,3,2,1,3,4,3,2,5,4,2,5,1,4,3,4,2,3,2,2,1,4,3,1,5,18,162,55,1,1,2,3,1,1,1,1
5,3,3,2,1,3,1,3,5,1,2,1,3,3,3,4,1,2,1,5,2,4,4,3,5,5,4,4,4,1,5,4,2,4,2,1,4,3,2,2,2,4,2,5,3,3,3,4,1,4,3,1,2,4,1,1,4,4,4,4,5,5,5,1,2,2,2,5,2,1,3,1,4,4,1,2,4,1,3,1,3,2,4,4,1,4,2,2,1,4,3,2,2,1,2,4,3,2,4,2,5,4,2,2,3,1,4,3,2,2,2,2,3,4,2,4,2,5,1,5,5,5,2,4,4,2,3,2,5,1,2,3,3,1,4,2,4,3,4,4,18,172,55,1,1,2,3,1,1,2,1
5,4,3,4,3,2,4,4,4,3,2,5,2,2,3,1,3,2,2,4,3,2,5,5,2,3,3,4,1,2,4,2,1,3,2,2,4,3,2,1,2,4,5,4,2,1,3,2,1,3,3,2,4,4,5,2,3,3,2,1,4,3,4,4,2,2,3,1,2,4,4,2,3,1,1,2,2,3,2,2,3,4,3,2,3,3,1,1,2,4,3,2,4,1,3,2,4,3,4,2,2,4,2,4,3,2,4,1,1,3,4,2,4,2,3,2,4,2,2,4,2,3,3,5,3,2,4,2,4,2,4,3,3,4,2,3,4,2,1,5,18,187,85,0,2,2,3,2,2,2,1
5,3,2,1,2,5,4,4,5,3,3,2,1,3,5,5,2,1,1,5,2,2,4,4,1,5,5,5,5,2,2,5,5,1,1,1,4,1,1,4,2,4,4,5,4,1,1,2,1,5,3,3,1,2,4,1,2,5,5,5,5,4,5,1,2,2,4,3,1,1,2,1,3,4,1,3,4,1,2,5,2,5,3,3,3,5,5,3,1,5,5,5,5,3,5,1,4,5,5,4,5,3,5,3,3,1,4,1,1,4,1,3,4,2,4,3,5,1,3,4,2,4,5,2,3,3,3,4,5,1,2,4,3,5,4,4,5,5,3,4,18,170,54,1,1,2,3,1,1,1,1
5,3,5,1,1,1,2,3,2,1,2,3,2,2,2,2,5,3,1,5,4,4,4,4,2,3,2,3,2,1,4,3,3,2,1,1,4,2,4,3,2,1,2,3,2,3,2,1,1,2,1,1,1,5,5,1,2,5,2,3,5,5,4,1,1,2,1,2,3,4,3,4,3,1,1,1,2,1,1,1,4,2,2,4,1,3,3,1,2,3,1,2,5,1,3,2,1,3,3,2,5,2,2,4,3,1,3,1,2,2,4,3,3,4,4,5,4,3,2,4,4,3,2,4,4,3,3,2,3,4,4,3,3,4,5,4,3,4,2,2,18,162,54,1,1,2,3,1,1,2,1
5,3,5,1,2,1,2,3,2,1,3,4,2,2,2,1,5,4,1,5,4,4,4,4,3,3,2,3,2,1,5,3,3,2,1,1,4,2,4,2,2,1,2,3,2,4,3,1,2,4,1,1,1,5,5,1,2,5,2,3,5,4,4,1,1,1,1,2,3,4,2,4,3,1,1,1,2,1,1,1,5,3,3,5,1,3,3,1,1,3,3,2,5,1,4,2,1,4,4,2,5,2,2,4,3,1,3,1,2,3,3,3,4,4,5,5,4,3,2,4,3,3,3,4,4,3,4,2,3,4,4,3,3,4,5,4,4,4,2,3,18,162,54,1,1,2,3,1,1,2,1
5,3,1,1,3,5,5,4,5,2,2,1,1,4,5,5,2,1,1,5,2,1,5,5,1,5,5,5,5,2,2,5,4,2,1,1,4,1,1,4,1,5,4,5,4,1,2,4,1,5,2,5,1,3,3,1,1,5,5,5,5,4,5,1,2,3,4,4,1,1,2,1,3,4,1,5,4,2,2,5,3,5,3,5,4,5,5,3,1,5,5,5,5,2,5,1,4,5,5,3,5,3,4,3,3,4,3,1,1,3,1,3,5,2,4,5,5,2,2,5,3,4,4,2,3,3,3,4,5,2,2,4,3,4,4,4,5,5,3,5,18,170,54,1,1,2,3,1,1,1,1
5,2,3,2,3,2,1,4,4,3,3,2,2,3,2,2,2,3,2,5,3,4,3,4,3,2,3,2,4,3,3,2,2,3,2,4,4,3,2,2,3,4,3,3,2,2,3,2,4,3,3,4,3,3,4,2,3,4,3,2,5,3,2,2,3,2,4,3,2,4,3,2,3,1,3,4,2,3,2,4,3,2,3,2,4,3,2,4,2,3,4,2,4,3,2,4,3,2,3,4,3,2,4,3,2,4,3,1,2,2,3,2,4,3,2,4,3,2,4,3,2,4,3,3,4,2,4,3,3,2,4,1,3,3,2,4,3,2,1,5,18,184,81,1,2,2,3,1,1,2,1
5,4,2,1,1,3,4,4,5,1,1,4,4,5,5,5,4,1,2,5,1,4,5,5,2,4,5,5,5,2,5,5,3,4,4,2,5,3,5,2,1,5,3,5,3,4,4,5,2,2,1,4,1,5,2,5,4,5,3,5,5,1,1,1,1,2,2,1,5,3,5,4,2,4,3,4,5,3,4,3,5,4,5,4,5,4,3,2,1,2,4,5,4,1,3,2,4,2,5,2,4,3,3,4,4,1,4,3,3,2,4,4,5,4,4,4,4,3,3,5,4,4,2,4,3,4,4,4,2,2,4,2,3,4,5,4,4,4,2,5,18,165,48,0,1,2,3,2,1,1,1
4,4,5,2,3,1,3,4,4,3,1,4,2,2,3,3,3,4,1,5,4,4,5,4,4,3,4,5,2,3,2,1,2,2,2,1,5,2,4,2,2,4,3,4,1,2,3,3,3,2,1,1,1,3,1,1,5,4,2,3,5,1,5,2,2,4,4,4,3,3,1,2,4,2,3,3,3,2,1,2,3,3,3,4,2,4,3,2,2,3,1,3,4,2,4,4,2,4,3,3,4,3,4,5,3,1,3,3,1,3,3,2,3,3,3,3,4,4,3,3,4,3,3,4,3,3,3,3,2,1,4,4,3,5,4,3,3,3,2,3,18,170,65,1,1,2,2,1,1,2,1
5,3,3,2,1,2,3,3,2,2,3,5,3,1,1,1,3,3,2,5,3,2,5,5,2,3,5,5,3,2,3,3,2,2,1,2,5,4,3,2,1,1,3,3,3,2,4,3,3,4,2,4,1,3,1,1,3,5,3,2,5,2,1,3,3,3,4,5,5,5,3,5,4,2,3,4,3,2,3,2,2,3,4,3,1,4,4,2,5,4,1,3,5,3,5,2,5,2,4,5,4,4,3,4,3,2,2,1,3,3,4,5,4,3,3,2,4,3,4,3,4,4,5,3,3,3,3,4,3,4,3,3,3,3,5,2,2,3,2,4,18,165,45,5,1,1,2,1,1,1,1
5,3,4,2,2,1,3,4,3,4,3,2,3,2,3,1,2,2,3,5,4,4,3,4,4,5,5,4,3,4,5,1,2,3,2,1,4,5,2,2,2,2,3,4,2,2,3,3,1,2,1,1,1,4,5,1,3,2,3,2,4,2,3,3,4,2,2,1,1,2,1,3,2,1,3,4,2,3,2,4,2,3,2,4,2,2,3,3,2,4,5,3,2,4,3,4,1,3,2,4,3,4,2,4,3,4,4,3,3,2,3,2,4,3,2,4,4,2,3,4,3,2,3,4,5,2,4,4,2,3,4,1,4,4,3,2,3,4,3,2,18,178,80,2,2,2,3,1,1,2,1
5,3,4,1,1,5,4,5,5,4,5,4,5,5,5,5,5,2,5,5,1,3,5,5,4,2,4,5,3,5,5,3,5,1,5,4,5,3,2,4,2,5,5,4,3,2,3,3,3,2,2,5,1,5,2,1,1,3,3,4,5,4,5,1,3,4,2,3,5,4,4,3,4,3,3,3,3,2,4,1,2,3,4,5,2,4,2,1,1,3,4,2,5,4,4,2,1,4,5,5,4,4,1,3,4,2,1,3,2,2,4,4,2,3,1,2,5,3,4,4,3,5,5,4,3,3,2,2,5,5,2,4,3,5,2,2,4,2,3,5,18,167,62,4,1,2,2,2,2,2,1
5,3,3,2,1,2,2,4,4,3,3,4,5,4,4,4,3,1,1,5,1,2,3,4,2,3,3,3,2,1,4,2,4,5,2,1,5,3,2,2,1,5,2,5,3,2,1,5,3,3,1,5,3,4,2,2,4,5,3,3,5,2,2,5,2,2,1,2,4,4,5,3,2,1,3,3,5,1,2,2,4,3,3,2,5,3,2,2,5,4,1,3,5,1,5,1,1,2,2,5,5,3,2,5,3,1,3,3,1,2,2,3,4,5,3,1,2,5,4,5,4,5,2,3,4,3,2,3,5,1,1,2,3,1,4,5,4,4,2,2,18,172,55,3,1,2,2,1,2,2,1
5,3,4,3,2,3,4,4,3,1,1,2,3,2,3,2,4,2,2,5,4,3,5,5,4,2,5,5,4,3,3,4,2,2,5,4,3,3,1,5,5,4,3,4,5,1,2,3,1,4,5,1,1,1,4,2,3,4,4,5,5,5,5,4,3,1,2,4,4,4,3,4,2,4,3,3,3,3,1,2,4,4,5,4,5,5,2,2,1,5,1,4,3,1,5,1,5,5,4,2,3,5,3,4,3,1,4,2,2,2,4,4,4,3,1,3,5,5,4,5,3,5,5,4,4,2,4,5,1,4,4,1,3,4,4,3,3,3,2,4,18,170,75,1,1,2,3,1,2,2,1
5,3,3,2,3,1,2,3,4,3,3,2,3,3,3,2,3,2,1,5,5,4,5,3,4,2,5,4,5,1,5,1,3,1,2,1,3,2,1,1,2,1,1,3,1,1,4,2,1,5,1,2,3,3,3,1,1,1,1,1,5,4,5,1,1,1,2,1,1,2,1,1,2,4,3,2,2,1,1,1,3,1,2,2,1,5,2,2,5,2,1,3,3,1,4,3,3,5,3,3,5,3,3,3,3,1,3,2,1,2,3,4,3,3,3,3,5,5,4,3,3,3,3,4,2,3,3,3,2,4,3,1,4,3,1,3,1,2,2,3,18,164,56,3,1,2,3,1,1,1,1
5,3,2,2,2,3,2,2,5,5,5,1,4,4,4,2,3,2,3,5,4,4,5,1,5,5,4,5,5,5,5,5,2,3,5,5,4,3,2,4,3,5,4,3,3,2,4,5,2,5,2,4,1,5,4,2,1,2,5,4,5,2,4,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,2,2,4,2,4,4,1,5,4,2,1,4,3,3,3,1,3,2,3,4,5,2,3,3,2,2,4,1,3,1,3,3,3,2,3,2,4,4,4,3,1,3,3,3,2,5,4,3,3,4,4,3,4,3,3,4,2,1,2,2,3,3,18,187,71,1,2,2,2,1,1,1,1
5,4,2,4,3,4,2,2,5,4,4,1,4,3,4,3,2,3,2,4,2,2,4,2,4,2,4,4,4,2,4,3,2,3,3,3,4,4,2,2,2,4,4,5,2,2,4,3,2,3,1,1,1,4,4,1,1,3,4,2,4,4,3,3,4,3,3,3,4,1,4,5,4,4,3,3,3,2,2,4,4,3,2,4,1,4,3,2,5,3,1,4,5,3,4,2,2,3,1,2,5,4,3,3,3,3,3,3,2,2,3,2,2,1,2,4,4,2,3,3,5,5,2,4,2,1,3,3,5,2,4,4,3,4,4,4,4,3,2,2,18,177,60,1,2,2,3,1,1,1,1
5,3,2,2,2,5,1,4,4,4,2,1,3,5,4,1,4,1,4,5,3,5,3,3,2,2,2,2,3,2,3,5,5,5,1,2,4,1,2,2,1,5,1,2,1,3,2,4,3,1,1,3,3,3,1,1,2,1,3,5,5,3,3,1,2,1,2,5,1,1,4,4,1,3,1,1,5,2,5,4,4,1,3,5,5,3,5,1,2,1,5,3,5,4,5,1,3,4,2,2,5,1,1,1,3,1,5,2,2,3,5,5,4,5,3,5,5,5,4,4,1,4,1,5,4,1,3,3,5,5,4,4,2,1,1,4,4,2,4,4,18,166,53,2,1,2,3,1,1,2,1
5,4,2,1,1,3,2,2,4,3,2,2,4,3,4,5,1,1,2,4,1,1,4,1,4,2,2,3,2,1,3,1,2,3,3,4,4,4,2,1,1,1,1,4,2,1,4,3,1,3,1,2,1,4,1,1,3,5,5,4,5,4,4,1,2,4,2,1,2,2,5,3,3,4,1,1,3,2,2,1,3,1,2,2,4,3,3,2,5,2,3,4,4,2,2,2,1,3,3,3,2,2,4,1,2,2,3,3,2,2,4,3,4,3,2,2,2,3,4,4,3,2,1,4,3,4,4,1,4,2,4,2,3,2,5,3,4,4,3,4,18,178,70,2,2,2,3,1,1,2,1
5,4,2,1,1,1,2,1,4,4,3,3,2,1,1,2,2,5,1,5,4,5,4,3,5,3,3,3,4,1,4,3,4,3,4,2,5,4,4,1,2,1,5,5,1,4,4,2,2,2,2,1,1,3,3,1,1,3,3,2,5,2,5,3,2,1,1,1,2,1,1,2,2,4,2,4,3,4,4,3,4,3,4,3,3,4,4,1,2,3,5,4,3,1,5,3,5,5,5,4,3,3,4,4,4,2,3,2,3,3,4,4,3,4,2,3,4,4,3,4,3,5,4,3,3,3,3,3,3,3,4,4,3,4,3,1,3,2,2,4,18,163,53,0,1,2,3,2,1,1,1
5,5,5,1,2,1,4,4,3,2,4,4,3,1,4,1,2,3,1,3,4,3,5,4,1,1,3,3,2,2,3,3,2,3,1,1,5,3,4,2,1,3,2,1,1,3,2,2,1,2,3,1,1,2,4,1,3,5,2,4,5,2,4,5,1,1,5,1,1,1,4,2,2,2,2,4,2,4,2,3,2,5,4,4,1,5,3,2,1,3,2,5,4,3,4,2,5,5,4,2,5,4,1,1,3,1,4,1,2,3,4,3,4,4,2,2,4,4,2,5,4,4,5,3,4,1,4,1,5,5,2,1,3,2,5,4,3,5,2,4,18,160,63,2,1,2,2,1,1,1,1
4,3,1,1,2,2,2,3,4,1,2,3,3,2,2,5,1,1,1,4,5,5,3,5,2,1,4,4,3,1,3,2,3,3,3,1,3,4,1,1,1,4,1,5,1,1,1,1,1,1,1,2,1,2,2,1,1,2,3,2,3,1,5,2,1,3,2,2,2,1,1,1,5,4,3,2,3,1,1,1,4,1,3,5,1,4,1,1,5,4,5,5,2,1,5,1,1,5,4,4,5,3,5,1,3,1,1,3,3,3,1,2,4,1,3,5,3,1,2,1,5,5,5,3,1,3,2,3,5,1,4,5,4,1,2,5,2,2,2,5,18,173,75,0,1,2,3,2,1,1,1
4,4,2,1,1,1,2,3,5,4,4,1,3,1,4,4,2,1,1,5,2,2,4,3,4,1,3,5,4,1,4,1,3,4,5,2,4,4,5,1,1,4,4,5,1,2,2,2,1,1,1,1,1,1,1,1,2,3,3,2,4,2,5,1,1,1,2,1,1,1,3,1,4,3,1,3,3,2,4,5,4,1,4,4,3,4,3,2,1,2,5,4,4,1,2,1,2,4,3,2,4,4,4,1,3,1,3,2,2,3,4,4,4,4,2,4,2,2,5,4,4,4,1,4,3,5,3,4,5,3,2,3,3,3,4,1,4,2,5,2,19,163,58,2,1,2,4,1,1,1,1
5,3,3,2,1,2,2,4,5,1,2,3,2,2,3,1,2,3,2,5,4,4,5,2,3,3,4,4,3,1,3,5,2,3,1,1,5,4,1,2,2,2,3,4,1,2,1,1,2,2,1,1,1,4,5,1,3,3,2,2,4,2,5,3,2,4,3,1,5,3,1,2,4,1,1,2,3,1,3,2,4,3,3,3,1,4,4,2,1,3,5,3,5,2,1,2,3,5,2,2,5,3,2,4,4,1,4,1,2,1,4,3,4,2,4,3,4,3,1,4,5,2,2,4,4,3,4,2,5,4,3,3,3,3,4,4,4,4,3,2,19,184,90,1,2,2,4,1,1,2,1
5,3,2,5,2,2,5,3,5,2,3,2,4,4,4,4,5,1,2,5,2,1,5,5,1,3,4,4,4,1,2,3,2,3,3,1,5,1,4,2,1,4,4,5,1,1,1,4,4,4,5,3,1,4,4,1,2,4,3,5,5,2,2,4,5,4,5,3,4,4,3,5,3,3,1,3,4,2,2,3,3,5,4,5,3,4,3,1,2,5,5,4,5,1,4,1,4,5,4,2,3,4,2,5,3,2,3,3,2,1,4,4,3,4,4,4,3,4,3,4,5,3,5,4,4,1,3,3,4,3,3,3,3,4,4,4,2,3,2,4,19,174,60,3,1,2,3,1,1,1,1
5,3,3,2,1,2,3,4,3,2,1,3,2,2,3,3,3,4,2,5,5,4,5,3,3,2,5,5,3,1,3,3,3,3,2,1,4,5,3,2,1,3,3,5,2,4,2,2,2,4,1,1,1,5,1,3,2,5,4,2,4,1,5,1,1,2,2,2,1,1,1,4,2,1,3,3,3,2,4,2,3,3,4,4,1,3,2,1,1,5,5,4,5,2,5,2,3,5,4,2,3,3,3,4,3,1,3,2,2,3,3,3,4,3,3,4,5,2,1,3,3,3,5,4,3,2,3,2,4,3,4,4,2,2,4,2,3,4,2,2,19,175,60,2,1,1,3,1,1,1,1
5,3,5,3,2,1,5,5,2,1,1,2,1,3,2,1,3,1,1,5,3,2,5,5,2,1,5,4,2,1,3,2,2,1,1,1,3,3,3,1,1,4,1,5,1,1,1,3,1,5,3,3,1,3,3,1,5,5,2,3,5,4,5,2,3,3,4,3,4,3,2,1,3,3,3,3,5,3,3,2,3,3,5,4,3,3,3,2,2,5,3,5,5,1,4,2,3,5,5,2,3,3,2,3,4,1,3,2,3,3,2,3,5,3,4,3,3,2,3,4,5,3,4,4,4,5,4,2,5,5,3,2,3,3,5,2,3,4,3,3,19,165,55,1,1,2,3,1,1,1,1
5,3,3,1,1,1,2,4,4,1,3,2,3,2,3,1,1,4,1,5,3,3,5,3,2,2,2,2,4,1,2,1,1,1,1,1,5,2,1,4,1,1,1,3,5,1,1,1,2,5,2,2,1,5,1,1,3,4,2,1,5,4,5,1,3,5,4,5,3,1,2,5,4,1,1,3,2,3,2,5,5,5,2,3,5,4,5,3,3,5,2,3,4,1,5,3,3,5,2,2,5,3,5,4,3,1,4,1,1,3,4,3,4,3,3,2,2,3,3,4,4,3,4,4,4,2,3,2,4,4,3,1,3,3,4,4,3,3,3,3,19,175,65,2,1,2,4,1,1,1,1
5,2,3,1,1,4,3,3,5,5,5,1,1,1,2,3,2,3,4,5,4,2,5,5,2,2,2,2,3,1,4,4,5,5,2,1,5,4,2,3,2,4,4,5,4,5,3,4,2,5,5,4,3,4,5,3,4,5,5,5,5,3,3,1,1,2,1,5,5,4,5,5,5,4,2,4,5,2,5,4,5,2,3,5,1,5,2,2,5,3,5,4,5,2,5,2,3,5,5,4,5,5,5,4,2,3,2,2,3,1,2,4,5,4,3,1,5,5,5,5,5,5,5,2,4,1,3,4,5,5,4,5,3,3,5,5,4,5,5,5,19,167,51,1,1,2,3,1,1,1,1
